No.,Response,Value,Force
1.0,ooooo,1.0,21.72262953
2.0,oooxxxox,0.244,4.140697592
3.0,ooooo,1.0,21.72262953
4.0,ooooo,1.0,21.72262953
5.0,Could not match sequence,,
6.0,Could not match sequence,,
7.0,oooxxxox,0.244,4.140697592
8.0,ooooxxxox,0.252,6.736033689
9.0,ooooxoxox,-0.453,10.41774871
10.0,ooooo,1.0,21.72262953
11.0,ooooo,1.0,21.72262953
12.0,ooooo,1.0,21.72262953
13.0,ooooo,1.0,21.72262953
14.0,ooooo,1.0,21.72262953
15.0,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
16.0,ooooo,1.0,21.72262953
17.0,ooooo,1.0,21.72262953
18.0,ooooo,1.0,21.72262953
19.0,ooooo,1.0,21.72262953
20.0,Could not match sequence,,
21.0,Could not match sequence,,
22.0,oooxooxx,-0.142,8.497315455
23.0,oooxoxxo,1.247,6.876596422
24.0,ooxoxox,-0.458,4.703910713
25.0,ooooo,1.0,21.72262953
26.0,ooooo,1.0,21.72262953
27.0,ooooo,1.0,21.72262953
28.0,ooooxxxox,0.252,6.736033689
29.0,oooxooo,-0.154,12.1184358
30.0,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,ooooo,1.0,21.72262953
,oxoxox,-0.5,2.842238615
,oxooxx,-0.169,3.360173787
,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
,oooxxoxo,0.952,5.923513908
,ooxxxoo,0.648,2.539677214
,oxooxx,-0.169,3.360173787
,ooooxxoxo,0.954,9.607099809
,ooooo,1.0,21.72262953
,oxxoox,-0.831,2.404137659
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
,oooxxoxo,0.952,5.923513908
,oooxxxoo,0.678,5.157007359
,oooxooo,-0.154,12.1184358
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,Could not match sequence,,
,ooooo,1.0,21.72262953
,oooxooxx,-0.142,8.497315455
,oxxoxo,0.831,1.872521726
,oooxxoox,-0.753,6.238512209
,Could not match sequence,,
,Could not match sequence,,
,oxxoxo,0.831,1.872521726
,xxoxo,0.439,0.711700545
,xooxo,0.305,2.135215066
,ooooo,1.0,21.72262953
,oxoxoo,0.022,3.70094976
,xooxx,-0.305,1.568413437
,oooxoxxx,0.756,5.364506266
,ooxoxxo,1.237,3.420953179
,ooooo,1.0,21.72262953
,Could not match sequence,,
,Could not match sequence,,
