Response,Value
ox,-0.5
oox,-0.388
ooox,-0.378
oooox,-0.377
oxo,0.842
ooxo,0.89
oooxo,0.894
ooooxo,0.894
oxx,-0.178
ooxx,0
oooxx,0.026
ooooxx,0.028
oxoo,0.299
ooxoo,0.314
oooxoo,0.315
ooooxoo,0.315
oxox,-0.5
ooxox,-0.439
oooxox,-0.432
ooooxox,-0.432
oxxo,1
ooxxo,1.122
oooxxo,1.139
ooooxxo,1.14
oxxx,0.194
ooxxx,0.449
oooxxx,0.5
ooooxxx,0.506
oxooo,-0.157
ooxooo,-0.154
oooxooo,-0.154
ooooxooo,-0.154
oxoox,-0.878
ooxoox,-0.861
oooxoox,-0.86
ooooxoox,-0.86
oxoxo,0.701
ooxoxo,0.737
oooxoxo,0.741
ooooxoxo,0.741
oxoxx,0.084
ooxoxx,0.169
oooxoxx,0.181
ooooxoxx,0.182
oxxoo,0.305
ooxxoo,0.372
oooxxoo,0.38
ooooxxoo,0.381
oxxox,-0.305
ooxxox,-0.169
oooxxox,-0.144
ooooxxox,-0.142
oxxxo,1.288
ooxxxo,1.5
oooxxxo,1.544
ooooxxxo,1.549
oxxxx,0.555
ooxxxx,0.897
oooxxxx,0.985
ooooxxxx,1
oxoooo,-0.547
ooxoooo,-0.547
oooxoooo,-0.547
ooooxoooo,-0.547
oxooox,-1.25
ooxooox,-1.247
oooxooox,-1.246
ooooxooox,-1.246
oxooxo,0.372
ooxooxo,0.38
oooxooxo,0.381
ooooxooxo,0.381
oxooxx,-0.169
ooxooxx,-0.144
oooxooxx,-0.142
ooooxooxx,-0.142
oxoxoo,0.022
ooxoxoo,0.039
oooxoxoo,0.04
ooooxoxoo,0.04
oxoxox,-0.5
ooxoxox,-0.458
oooxoxox,-0.453
ooooxoxox,-0.453
oxoxxo,1.169
ooxoxxo,1.237
oooxoxxo,1.247
ooooxoxxo,1.248
oxoxxx,0.611
ooxoxxx,0.732
oooxoxxx,0.756
ooooxoxxx,0.758
oxxooo,-0.296
ooxxooo,-0.266
oooxxooo,-0.263
ooooxxooo,-0.263
oxxoox,-0.831
ooxxoox,-0.763
oooxxoox,-0.753
ooooxxoox,-0.752
oxxoxo,0.831
ooxxoxo,0.935
oooxxoxo,0.952
ooooxxoxo,0.954
oxxoxx,0.296
ooxxoxx,0.463
oooxxoxx,0.5
ooooxxoxx,0.504
oxxxoo,0.5
ooxxxoo,0.648
oooxxxoo,0.678
ooooxxxoo,0.681
oxxxox,-0.043
ooxxxox,0.187
oooxxxox,0.244
ooooxxxox,0.252
oxxxxo,1.603
ooxxxxo,1.917
oooxxxxo,2
ooooxxxxo,2.014
oxxxxx,0.893
ooxxxxx,1.329
oooxxxxx,1.465
ooooxxxxx,1.496
xo,0.5
xxo,0.388
xxxo,0.378
xxxxo,0.377
xox,-0.842
xxox,-0.89
xxxox,-0.894
xxxxox,-0.894
xoo,0.178
xxoo,0
xxxoo,-0.026
xxxxoo,-0.028
xoxx,-0.299
xxoxx,-0.314
xxxoxx,-0.315
xxxxoxx,-0.315
xoxo,0.5
xxoxo,0.439
xxxoxo,0.432
xxxxoxo,0.432
xoox,-1
xxoox,-1.122
xxxoox,-1.139
xxxxoox,-1.14
xooo,-0.194
xxooo,-0.449
xxxooo,-0.5
xxxxooo,-0.506
xoxxx,0.157
xxoxxx,0.154
xxxoxxx,0.154
xxxxoxxx,0.154
xoxxo,0.878
xxoxxo,0.861
xxxoxxo,0.86
xxxxoxxo,0.86
xoxox,-0.701
xxoxox,-0.737
xxxoxox,-0.741
xxxxoxox,0.741
xoxoo,-0.084
xxoxoo,-0.169
xxxoxoo,-0.181
xxxxoxoo,-0.182
xooxx,-0.305
xxooxx,-0.372
xxxooxx,-0.38
xxxxooxx,-0.381
xooxo,0.305
xxooxo,0.169
xxxooxo,0.144
xxxxooxo,0.142
xooox,-1.288
xxooox,-1.5
xxxooox,-1.544
xxxxooox,-1.549
xoooo,-0.555
xxoooo,-0.897
xxxoooo,-0.985
xxxxoooo,-1
xoxxxx,0.547
xxoxxxx,0.547
xxxoxxxx,0.547
xxxxoxxxx,0.547
xoxxxo,1.25
xxoxxxo,1.247
xxxoxxxo,1.246
xxxxoxxxo,1.246
xoxxox,-0.372
xxoxxox,-0.38
xxxoxxox,-0.381
xxxxoxxox,-0.381
xoxxoo,0.169
xxoxxoo,0.144
xxxoxxoo,0.142
xxxxoxxoo,0.142
xoxoxx,-0.022
xxoxoxx,-0.039
xxxoxoxx,-0.04
xxxxoxoxx,-0.04
xoxoxo,0.5
xxoxoxo,0.458
xxxoxoxo,0.453
xxxxoxoxo,0.453
xoxoox,-1.169
xxoxoox,-1.237
xxxoxoox,-1.247
xxxxoxoox,-1.248
xoxooo,-0.611
xxoxooo,-0.732
xxxoxooo,-0.756
xxxxoxooo,-0.758
xooxxx,0.296
xxooxxx,0.266
xxxooxxx,0.263
xxxxooxxx,0.263
xooxxo,0.831
xxooxxo,0.763
xxxooxxo,0.753
xxxxooxxo,0.752
xooxox,-0.831
xxooxox,-0.935
xxxooxox,-0.952
xxxxooxox,-0.954
xooxoo,-0.296
xxooxoo,-0.463
xxxooxoo,-0.5
xxxxooxoo,-0.504
xoooxx,-0.5
xxoooxx,-0.648
xxxoooxx,-0.678
xxxxoooxx,-0.681
xoooxo,0.043
xxoooxo,-0.187
xxxoooxo,-0.244
xxxxoooxo,-0.252
xoooox,-1.603
xxoooox,-1.917
xxxoooox,-2
xxxxoooox,-2.014
xooooo,-0.983
xxooooo,-1.329
xxxooooo,-1.465
xxxxooooo,-1.496
ooooo,1
xxxx,-1
