No.,Response,Value,Force
0,xxxx,-1,0.229161943
1,xxxox,-0.894,0.362673407
2,xxxoo,-0.026,0.562553961
3,oxxxxx,0.893,0.596929578
4,xoxxx,0.157,0.617104209
5,xxoxo,0.439,0.711700545
6,xxoxox,-0.737,0.847285201
7,oxxxxo,1.603,0.854807413
8,xoxxo,0.878,0.888627484
9,xxooxx,-0.372,1.019057342
10,xoxxox,-0.372,1.019057342
11,xxoox,-1.122,1.037561326
12,ooxxxxx,1.329,1.116292167
13,oxxxox,-0.043,1.203540043
14,xoxoxx,-0.022,1.216390465
15,xoxox,-0.701,1.283756568
16,xooxxx,0.296,1.428627077
17,oxxoxx,0.296,1.428627077
18,xxooo,-0.449,1.458250842
19,ooxxxxo,1.917,1.502888787
20,xooxx,-0.305,1.568413437
21,oxxxoo,0.5,1.583892351
22,xoxoxo,0.5,1.583892351
23,oxoxxx,0.611,1.675351055
24,xxooox,-1.5,1.714034012
25,xoxoo,-0.084,1.753885499
26,oxxoxo,0.831,1.872521726
27,xooxxo,0.831,1.872521726
28,ooxxxox,0.187,2.011518242
29,xoxoox,-1.169,2.02637883
30,xooxo,0.305,2.135215066
31,oxoxxo,1.169,2.221598416
32,ooxxoxx,0.463,2.312836428
33,xooxox,-0.831,2.404137659
34,oxxoox,-0.831,2.404137659
35,ooxxxoo,0.648,2.539677214
36,oooxxxxx,1.465,2.580354188
37,xoxooo,-0.611,2.68707862
38,xoooxx,-0.5,2.842238615
39,oxoxox,-0.5,2.842238615
40,ooxxoxo,0.935,2.936402047
41,xooox,-1.288,3.091412486
42,oxxooo,-0.296,3.151137252
43,oxooxx,-0.169,3.360173787
44,oooxxxxo,2,3.38210675
45,ooxoxxo,1.237,3.420953179
46,oxoxoo,0.022,3.70094976
47,ooxxoox,-0.763,4.031517359
48,oooxxxox,0.244,4.140697592
49,oxooxo,0.372,4.417612056
50,ooxoxox,-0.458,4.703910713
51,oooxxoxx,0.5,4.713045531
52,oxooox,-1.25,4.851984476
53,oooxxxoo,0.678,5.157007359
54,ooxxooo,-0.266,5.18358424
55,oooxoxxx,0.756,5.364506266
56,ooxooxx,-0.144,5.513487255
57,ooxoox,-0.861,5.906902339
58,oooxxoxo,0.952,5.923513908
59,ooxoxoo,0.039,6.048124135
60,oooxxoox,-0.753,6.238512209
61,ooooxxxox,0.252,6.736033689
62,oooxoxxo,1.247,6.876596422
63,oxoooo,-0.547,6.923522309
64,ooxooox,-1.247,6.972344611
65,ooxooxo,0.38,7.186514585
66,oooxoxox,-0.453,7.260614177
67,ooooxxoxx,0.504,7.651627295
68,oooxxooo,-0.263,7.992914517
69,ooooxxxoo,0.681,8.368165916
70,oooxoox,-0.86,8.479689495
71,oooxooxx,-0.142,8.497315455
72,ooooxoxxx,0.758,8.700468662
73,ooooxxoox,-0.752,8.955734056
74,oooxoxoo,0.04,9.31657794
75,ooooxxoxo,0.954,9.607099809
76,ooxoooo,-0.547,9.934079107
77,ooooxoxox,-0.453,10.41774871
78,ooooxox,-0.432,10.52898096
79,oooxooxo,0.381,11.07016354
80,ooooxxoo,0.381,11.07016354
81,ooooxoxxo,1.248,11.14722548
82,ooooxxooo,-0.263,11.46847537
83,oooxooo,-0.154,12.1184358
84,ooooxoxo,0.741,13.28081822
85,ooooxoxoo,0.04,13.36770767
86,ooooxoo,0.315,15.36237075
87,ooooo,1,21.72262953
