,Response,Value
1,ox,-0.5
2,oox,-0.388
3,ooox,-0.378
4,oooox,-0.377
5,oxo,0.842
6,ooxo,0.89
7,oooxo,0.894
8,ooooxo,0.894
9,oxx,-0.178
10,ooxx,0
11,oooxx,0.026
12,ooooxx,0.028
13,oxoo,0.299
14,ooxoo,0.314
15,oooxoo,0.315
16,ooooxoo,0.315
17,oxox,-0.5
18,ooxox,-0.439
19,oooxox,-0.432
20,ooooxox,-0.432
21,oxxo,1
22,ooxxo,1.122
23,oooxxo,1.139
24,ooooxxo,1.14
25,oxxx,0.194
26,ooxxx,0.449
27,oooxxx,0.5
28,ooooxxx,0.506
29,oxooo,-0.157
30,ooxooo,-0.154
31,oooxooo,-0.154
32,ooooxooo,-0.154
33,oxoox,-0.878
34,ooxoox,-0.861
35,oooxoox,-0.86
36,ooooxoox,-0.86
37,oxoxo,0.701
38,ooxoxo,0.737
39,oooxoxo,0.741
40,ooooxoxo,0.741
41,oxoxx,0.084
42,ooxoxx,0.169
43,oooxoxx,0.181
44,ooooxoxx,0.182
45,oxxoo,0.305
46,ooxxoo,0.372
47,oooxxoo,0.38
48,ooooxxoo,0.381
49,oxxox,-0.305
50,ooxxox,-0.169
51,oooxxox,-0.144
52,ooooxxox,-0.142
53,oxxxo,1.288
54,ooxxxo,1.5
55,oooxxxo,1.544
56,ooooxxxo,1.549
57,oxxxx,0.555
58,ooxxxx,0.897
59,oooxxxx,0.985
60,ooooxxxx,1
61,oxoooo,-0.547
62,ooxoooo,-0.547
63,oooxoooo,-0.547
64,ooooxoooo,-0.547
65,oxooox,-1.25
66,ooxooox,-1.247
67,oooxooox,-1.246
68,ooooxooox,-1.246
69,oxooxo,0.372
70,ooxooxo,0.38
71,oooxooxo,0.381
72,ooooxooxo,0.381
73,oxooxx,-0.169
74,ooxooxx,-0.144
75,oooxooxx,-0.142
76,ooooxooxx,-0.142
77,oxoxoo,0.022
78,ooxoxoo,0.039
79,oooxoxoo,0.04
80,ooooxoxoo,0.04
81,oxoxox,-0.5
82,ooxoxox,-0.458
83,oooxoxox,-0.453
84,ooooxoxox,-0.453
85,oxoxxo,1.169
86,ooxoxxo,1.237
87,oooxoxxo,1.247
88,ooooxoxxo,1.248
89,oxoxxx,0.611
90,ooxoxxx,0.732
91,oooxoxxx,0.756
92,ooooxoxxx,0.758
93,oxxooo,-0.296
94,ooxxooo,-0.266
95,oooxxooo,-0.263
96,ooooxxooo,-0.263
97,oxxoox,-0.831
98,ooxxoox,-0.763
99,oooxxoox,-0.753
100,ooooxxoox,-0.752
101,oxxoxo,0.831
102,ooxxoxo,0.935
103,oooxxoxo,0.952
104,ooooxxoxo,0.954
105,oxxoxx,0.296
106,ooxxoxx,0.463
107,oooxxoxx,0.5
108,ooooxxoxx,0.504
109,oxxxoo,0.5
110,ooxxxoo,0.648
111,oooxxxoo,0.678
112,ooooxxxoo,0.681
113,oxxxox,-0.043
114,ooxxxox,0.187
115,oooxxxox,0.244
116,ooooxxxox,0.252
117,oxxxxo,1.603
118,ooxxxxo,1.917
119,oooxxxxo,2
120,ooooxxxxo,2.014
121,oxxxxx,0.893
